"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.5","2.9","0.2"
"Liverpool","Liverpool","88.6","2.8","0.5"
"Chelsea","Chelsea","88.7","2.4","0.3"
"Man. United","Manchester Utd","84.1","2.3","0.5"
"West Ham","West Ham","75.6","2.1","0.8"
"Arsenal","Arsenal","76.8","2.0","0.6"
"Everton","Everton","73.9","2.0","0.7"
"Brighton","Brighton","74.0","1.9","0.6"
"Tottenham","Tottenham","74.2","2.1","0.8"
"Aston Villa","Aston Villa","74.5","2.0","0.7"
"Leicester","Leicester City","74.0","2.1","0.8"
"Brentford","Brentford","68.8","1.8","0.8"
"Wolves","Wolves","72.9","1.8","0.6"
"Leeds United","Leeds United","69.1","1.9","0.9"
"Crystal Palace","Crystal Palace","65.9","1.7","0.9"
"Southampton","Southampton","67.7","1.8","0.8"
"Newcastle","Newcastle Utd","62.8","1.8","1.1"
"Burnley","Burnley","63.5","1.8","1.0"
"Watford","Watford","59.7","1.6","1.0"
"Norwich","Norwich City","57.4","1.6","1.1"
