"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","UCL_pct","Prem_Title_pct","Relegated_pct"
"Manchester Utd",1,3,2,4,3,0,1,10,11,3,8,55.7,9.2,0.1
"Liverpool",3,5,2,4,3,0,1,10,9,1,8,82.6,24.5,0
"Chelsea",2,4,2,4,3,0,1,10,9,1,8,71.4,14.6,0
"Everton",4,6,2,4,3,0,1,10,10,4,6,17.9,0.8,1.1
"Manchester City",5,7,2,4,3,1,0,9,11,1,10,90.4,46.2,0
"Brighton",6,8,2,4,3,1,0,9,5,3,2,10.4,1.1,2.6
"Tottenham",7,1,-6,4,3,1,0,9,3,3,0,28.1,1.5,0.9
"West Ham",8,2,-6,4,2,0,2,8,10,5,5,15.2,0.8,2.4
"Leicester City",9,9,0,4,2,2,0,6,4,6,-2,9.9,0.5,3.5
"Brentford",10,10,0,4,1,1,2,5,3,2,1,1.2,0,22.3
"Crystal Palace",11,14,3,4,1,1,2,5,5,5,0,1.6,0,20.6
"Aston Villa",12,11,-1,4,1,2,1,4,5,7,-2,4.4,0.3,9
"Wolves",13,18,5,4,1,3,0,3,2,3,-1,2.9,0.3,9.9
"Southampton",14,13,-1,4,0,1,3,3,4,6,-2,0.9,0,26.1
"Watford",15,12,-3,4,1,3,0,3,3,7,-4,0,0,42.7
"Arsenal",16,20,4,4,1,3,0,3,1,9,-8,4.7,0.2,8.2
"Leeds United",17,15,-2,4,0,2,2,2,4,11,-7,2.2,0,16.1
"Burnley",18,16,-2,4,0,3,1,1,3,8,-5,0.2,0,38.2
"Newcastle Utd",19,17,-2,4,0,3,1,1,5,12,-7,0.2,0,45.1
"Norwich City",20,19,-1,4,0,4,0,0,1,11,-10,0.1,0,51.2
